Date,Consommation
2020-01-01,5781716.0
2020-01-02,6180140.0
2020-01-03,6003250.0
2020-01-04,5776044.0
2020-01-05,5770504.0
2020-01-06,6635462.0
2020-01-07,6522309.0
2020-01-08,6233536.0
2020-01-09,6039322.0
2020-01-10,6181752.0
2020-01-11,5912196.0
2020-01-12,5812170.0
2020-01-13,6454217.0
2020-01-14,6374561.0
2020-01-15,6260524.0
2020-01-16,6173653.0
2020-01-17,6155024.0
2020-01-18,5992378.0
2020-01-19,6081123.0
2020-01-20,6974118.0
2020-01-21,7169479.0
2020-01-22,7219126.0
2020-01-23,7191640.0
2020-01-24,7039705.0
2020-01-25,6371856.0
2020-01-26,5874968.0
2020-01-27,6465883.0
2020-01-28,6546449.0
2020-01-29,6475905.0
2020-01-30,6375161.0
2020-01-31,5848331.0
2020-02-01,5257867.0
2020-02-02,4988055.0
2020-02-03,5541562.0
2020-02-04,6042884.0
2020-02-05,6351832.0
2020-02-06,6545566.0
2020-02-07,6513745.0
2020-02-08,5721840.0
2020-02-09,5407949.0
2020-02-10,5881997.0
2020-02-11,6137409.0
2020-02-12,4598652.0
